209,"[350, 382, 532, 367, 365]"
212,"[399, 494, 341, 74, 11]"
213,"[195, 357, 234, 203, 365]"
220,"[272, 271, 522, 530, 190]"
223,"[292, 284, 471, 509, 481]"
224,"[417, 186, 474, 173, 114]"
229,"[396, 397, 425, 411, 456]"
230,"[268, 267, 532, 245, 209]"
231,"[20, 256, 21, 34, 36]"
234,"[213, 203, 357, 365, 492]"
237,"[40, 43, 73, 389, 42]"
239,"[384, 452, 409, 195, 213]"
243,"[266, 264, 269, 84, 65]"
245,"[532, 209, 350, 367, 267]"
256,"[20, 36, 231, 35, 33]"
260,"[111, 174, 489, 4, 127]"
261,"[421, 440, 321, 314, 424]"
264,"[269, 266, 243, 507, 14]"
265,"[457, 376, 389, 237, 40]"
266,"[269, 264, 243, 65, 84]"
267,"[245, 532, 209, 350, 367]"
268,"[230, 267, 245, 405, 418]"
269,"[266, 264, 243, 507, 65]"
270,"[16, 472, 17, 60, 48]"
271,"[522, 190, 272, 220, 530]"
272,"[220, 271, 522, 190, 530]"
273,"[83, 28, 80, 530, 522]"
274,"[286, 137, 161, 323, 182]"
275,"[434, 455, 484, 345, 424]"
277,"[497, 359, 434, 275, 455]"
279,"[296, 438, 314, 421, 440]"
280,"[363, 279, 438, 296, 303]"
281,"[479, 437, 491, 151, 488]"
284,"[292, 223, 481, 471, 509]"
285,"[364, 275, 434, 390, 424]"
286,"[274, 137, 161, 323, 182]"
292,"[223, 284, 471, 509, 481]"
294,"[462, 521, 8, 176, 494]"
295,"[273, 47, 83, 28, 97]"
296,"[279, 438, 421, 321, 261]"
302,"[423, 424, 426, 434, 261]"
303,"[440, 261, 314, 421, 302]"
314,"[440, 421, 261, 321, 423]"
315,"[407, 411, 456, 397, 431]"
321,"[421, 440, 261, 314, 424]"
322,"[527, 342, 220, 430, 530]"
323,"[161, 182, 274, 286, 137]"
328,"[117, 500, 9, 337, 441]"
334,"[335, 427, 487, 191, 398]"
335,"[398, 427, 358, 454, 334]"
336,"[502, 395, 439, 501, 509]"
337,"[412, 148, 441, 9, 196]"
340,"[356, 14, 264, 507, 269]"
341,"[494, 201, 74, 11, 399]"
342,"[185, 451, 151, 272, 220]"
345,"[455, 484, 434, 275, 423]"
350,"[209, 382, 367, 532, 365]"
353,"[84, 25, 18, 473, 65]"
356,"[340, 14, 507, 264, 269]"
357,"[203, 195, 213, 365, 234]"
358,"[454, 398, 335, 509, 471]"
359,"[434, 302, 277, 497, 455]"
360,"[492, 418, 203, 405, 357]"
363,"[280, 438, 279, 296, 486]"
364,"[187, 486, 285, 421, 321]"
365,"[382, 357, 350, 367, 209]"
367,"[350, 209, 382, 532, 365]"
368,"[390, 275, 484, 345, 434]"
370,"[272, 190, 488, 64, 451]"
371,"[201, 399, 74, 341, 11]"
376,"[389, 457, 265, 237, 40]"
377,"[11, 420, 74, 341, 494]"
379,"[425, 229, 212, 412, 396]"
382,"[350, 209, 367, 365, 532]"
383,"[239, 492, 452, 384, 360]"
384,"[239, 452, 409, 195, 213]"
389,"[376, 237, 73, 40, 43]"
390,"[368, 275, 484, 434, 424]"
395,"[439, 502, 223, 292, 284]"
396,"[229, 425, 397, 379, 411]"
397,"[229, 396, 411, 425, 456]"
398,"[335, 358, 454, 427, 191]"
399,"[201, 341, 494, 212, 74]"
404,"[270, 472, 17, 16, 24]"
405,"[418, 492, 360, 234, 532]"
407,"[431, 411, 448, 315, 456]"
408,"[407, 431, 67, 315, 411]"
409,"[384, 195, 239, 213, 452]"
411,"[456, 431, 448, 229, 397]"
412,"[494, 420, 196, 11, 148]"
413,"[8, 68, 521, 412, 121]"
417,"[474, 186, 173, 114, 224]"
418,"[492, 405, 360, 234, 203]"
420,"[11, 74, 494, 341, 196]"
421,"[314, 440, 321, 261, 424]"
423,"[302, 424, 426, 455, 434]"
424,"[423, 302, 426, 275, 261]"
